artista,nombre_cancion,genres
legado 7,el aguacate (en vivo),Unknown
rémy,j'ai vu,Unknown
rémy,pas besoin,Unknown
chicago,life is what it is,"jazz fusion, eclectonia"
ghost town,modern tragedy,Unknown
gerardo ortiz,quien se anima,Unknown
next town down,man on the loose,Unknown
the lovin' spoonful,nashville cats,"60s, classic rock, oldies, 1966, country"
fredo,never,Unknown
espinoza paz,la mushasha shula,Unknown
ms banks,come thru,Unknown
legado 7,el sapo (en vivo),Unknown
red sun rising,fascination,Unknown
red sun rising,left for dead,Unknown
legado 7,el viaje (en vivo),Unknown
the lovin' spoonful,summer in the city,"60s, classic rock, oldies, rock, summer"
lil gnar,samurai shit,Unknown
yung bleu,no wedding ring,Unknown
lily kershaw,all of the love in the world,Unknown
liza anne,small talks,Unknown
yung bleu,know who u are,Unknown
lil gnar,kick my drip,Unknown
smooky margielaa,how we do,Unknown
lotus eater,branded,Unknown
liza anne,socks,Unknown
the buttertones,baby c4,Unknown
annmarie,loyalty,Unknown
noah carter,numbers,Unknown
mo3,numbers (feat. moneybagg yo),Unknown
hooss,le bon soir,Unknown
annmarie,sleep on me,Unknown
amenazzy,quiero llevarte,Unknown
ry cooder,the prodigal son,fip
anders,take it back,Unknown
annmarie,ecstasy,Unknown
annmarie,one mo time,Unknown
4keus,meeting,Unknown
gaz coombes,walk the walk,"fip, 2018, 2018 single"
the trews,coming home,Unknown
yung bleu,bleu vandross speaks,Unknown
jeremy loops,let it burn,Unknown
lil gnar,sticky rice,Unknown
aisha badru,fossil fuels,Unknown
ryan kinder,leap of faith,"modern country, hairy chest, hunks, nice fur"
glokknine,armed & dangerous,Unknown
john maus,episode,Unknown
rémy,ne me quitte pas,Unknown
r.lum.r,learn - altered,Unknown
diamante,sleepwalking,Unknown
glokknine,az - za,Unknown
glokknine,d to the s (feat. poody),Unknown
weathers,the night is calling,"american, 2018 single"
fredo,star,Unknown
kina,"please, stay with me","Lo-Fi, instrumental hip-hop"
jamie ray,how it go (feat. lil baby),Unknown
espinoza paz,chula,Unknown
trevor hall,jupiter's call,Unknown
iceage,pain killer,"post-punk, art punk, art rock, punk blues"
culture abuse,calm e,not grunge
pegboard nerds,just dance,"dubstep, EDM, bass music, Brostep, monstercat"
kid cudi,day 'n' nite,"Hip-Hop, hip hop, rap, kid cudi, chill"
jeremy loops,gold,"folk, south africa"
4keus,je pense,Unknown
riff raff,supreme shopping (feat. poodeezy & mack won),Unknown
24hrs,beautiful,Unknown
bryan j,honestly,Unknown
tors,wilder days,Unknown
willie nelson,me and you,Unknown
xavier rudd,walk away,soft rock
edwin raphael,thrills sought after,Unknown
zachary knowles,love the rain,Unknown
alfie templeman,yellow flowers,"indie, alternative, alternative rock, indie pop, indie rock"
hooss,la provence,Unknown
pete townshend,there’s a fortune in those hills,Unknown
dead lakes,the devil has blue eyes,Unknown
legado 7,el chino,Unknown
legado 7,el de los ojos tumbados,Unknown
legado 7,la papeleria,Unknown
yung bleu,ice on my baby,Unknown
legado 7,el 50,Unknown
legado 7,un chamaco sin futuro,Unknown
legado 7,pancho conos,Unknown
jeremy loops,freak,"pop, egofm"
inkonnu,tab3ini v2,Unknown
august 08,funeral,Unknown
24hrs,back in time,Unknown
fools garden,embrace,Unknown
og 3three,lovin' you,Unknown
the proclaimers,make my heart fly,"shenanigans, acoustic, love songs, rock, 80s"
inkonnu,kib9aw fia (feat. 7liwa),Unknown
charles aznavour,toi et moi,"chanson, french, jazz, romantic, oldies"
crazy ex-girlfriend cast,face your fears (reprise),Unknown
anders,why,Unknown
4keus,extinction des feux,Unknown
the isley brothers,sensitive lover (single version),Unknown
sammy arriaga,break up a band,Unknown
