artista,nombre_cancion,genres
benson boone,in the stars,"pop, piano, Ballad, a subtle use of vocal harmony, intricate melodic phrasing"
jack harlow,first class,"2020s, 2022, Jack Harlow, Hip-Hop, rap"
bad bunny,andrea,"experimental, afrobeat"
eminem,superman,"rap, Eminem, Hip-Hop, hip hop, Superman"
morgan wallen,you proof,"trap, pop, bro-country, country, rnb"
surf curse,freaks,"indie, surf rock, MySpotigramBot, pop, alternative"
eminem,till i collapse,"rap, Hip-Hop, Eminem, hip hop, hardcore rap"
avicii,the nights,"dance, electronic, pop, 2015, 2014"
shawn mendes,there's nothing holdin' me back,"pop, pop rock, 2017, dance, canada"
lil nas x,industry baby (feat. jack harlow),"trap, Hip-Hop, 2020s, 2021, rap"
justin bieber,peaches (feat. daniel caesar & giveon),"rnb, Hip-Hop, 2020s, 2021, pop"
gayle,abcdefu,"pop rock, pop punk, pop, rock, 2020s"
the killers,mr. brightside,"rock, indie, indie rock, alternative, alternative rock"
marshmello,happier,"bastille, electronic, love this, 2010s, eletronic"
billie eilish,everything i wanted,"indie pop, indie, pop, alternative, sad"
radiohead,creep,"alternative, rock, alternative rock, radiohead, indie"
jaymes young,infinity,"electronic, pop, chill, indie pop, indietronica"
linkin park,in the end,"rock, Nu Metal, Linkin Park, alternative rock, alternative"
keane,somewhere only we know,"britpop, Keane, alternative, indie, rock"
drake,one dance,"2016, Drake, dancehall, pop, 2010s"
maroon 5,memories,"pop, 2010s, indie, rock, alternative"
piso 21,los cachos,"latin, Reggaeton"
avicii,wake me up,"electronic, dance, 2013, Avicii, pop"
ac/dc,back in black,"hard rock, rock, classic rock, ACDC, heavy metal"
eminem,stan,"rap, Hip-Hop, Eminem, hip hop, dido"
taylor swift,lover,"pop, country, Love, overrated, country pop"
alec benjamin,let me down slowly,"pop, chill, sad, singer-songwriter, Favorite"
the weeknd,lost in the fire (feat. the weeknd),Unknown
alesso,words (feat. zara larsson),"dance, 2022, electronic, swedish, scandinavian"
bad bunny,yo no soy celoso,"Bossa Nova, latin, Reggaeton"
the chainsmokers,something just like this,"pop, dance, electronic, Coldplay, future bass"
panic! at the disco,house of memories,"pop rock, electropop, electronic, pop, rock"
feid,normal,Unknown
mora,memorias,hip house
måneskin,the loneliest,"rock, Ballad, alternative rock, sad, pop rock"
kate bush,running up that hill (a deal with god) - 2018 remaster,"new wave, synthpop, mistagged, art pop, Stranger Things"
bon jovi,livin' on a prayer,"rock, 80s, bon jovi, classic rock, hard rock"
twenty one pilots,stressed out,"indie pop, alternative, indie, alternative hip hop, hip hop"
rauw alejandro,punto 40,"Reggaeton, wave, electro-industrial, hit, cyber"
adele,easy on me,"2021, pop, Adele, soul, piano"
meduza,bad memories (feat. elley duhé & fast boy),Unknown
ariana grande,positions,"pop, rnb, 2020, 2020s, trap"
taylor swift,blank space,"pop, love at first listen, female vocalists, 2014, best of 2014"
xxxtentacion,everybody dies in their nightmares,"emo rap, hip hop, rap, XXXTENTACION, Hip-Hop"
becky g,mamiii,"Reggaeton, latin, latin pop, sexy, female vocalists"
marshmello,leave before you love me (with jonas brothers),"pop, male vocalist, extensive vamping, major key tonality, romantic lyrics"
a-ha,take on me,"80s, pop, new wave, synthpop, synth pop"
ed sheeran,photograph,"pop, love at first listen, emotional, Ed Sheeran, best song of the world"
billie eilish,bored,"Billie Eilish, indie, 2010s, peter, 13 reasons why"
coldplay,hymn for the weekend,"pop, alternative rock, beyonce, 2016, alternative"
imagine dragons,thunder,"indie pop, alternative, pop, rock, electropop"
dua lipa,levitating (feat. dababy),"pop, Disco, nu-disco, 2020, DaBaby"
bts,dynamite,"pop, Disco, k-pop, bts, Kpop"
daddy yankee,x última vez,Unknown
james arthur,say you won't let go,"pop, british, 2010s, folk, UK"
bad bunny,otro atardecer,"chillwave, bedroom pop, afrobeats, spanish, pop"
frank ocean,pink + white,"rnb, MySpotigramBot, Neo-Soul, soul, beyonce"
frank ocean,lost,"rnb, soul, r&b, Neo-Soul, Hip-Hop"
david guetta,crazy what love can do,"electronic, dance, dance-pop, House, my weekly top songs"
john legend,all of me,"rnb, pop, 2014, Love, soul"
ac/dc,highway to hell,"hard rock, rock, classic rock, ACDC, heavy metal"
bad bunny,me fui de vacaciones,"reggae, calypso, tropical, lovers rock, 🏖️"
dua lipa,levitating,"pop, nu-disco, dance-pop, Disco, funktronica"
bad bunny,enséñame a bailar,"Reggaeton, latin pop, afrobeats"
tiësto,hot in it,"House, dance-pop, slap house, electronic, pop"
yot club,ykwim?,"Lo-Fi, indie, chill, slow, dream pop"
foo fighters,everlong,"rock, alternative rock, alternative, foo fighters, 90s"
the white stripes,seven nation army,"rock, alternative rock, alternative, indie, indie rock"
travis scott,goosebumps,"MySpotigramBot, kendrick lamar, rap, trap, 2016"
cigarettes after sex,apocalypse,"dream pop, indie, pop, rock, indie pop"
the chainsmokers,closer,"2016, electronic, pop, EDM, future bass"
bad bunny,la santa,"Reggaeton, rnb, pop rap, alternative rnb"
dj snake,let me love you,"electronic, justin bieber, tropical house, 2016, EDM"
guns n' roses,sweet child o' mine,"rock, hard rock, classic rock, 80s, Guns N Roses"
shakira,hips don't lie (feat. wyclef jean),"pop, latin, dance, Reggaeton, Shakira"
dr. dre,still d.r.e.,"Hip-Hop, rap, Gangsta Rap, dr dre, hip hop"
drake,god's plan,"2018, Hip-Hop, rap, 2010s, MySpotigramBot"
creedence clearwater revival,have you ever seen the rain,"classic rock, rock, 70s, Southern Rock, oldies"
gorillaz,feel good inc.,"alternative, electronic, Hip-Hop, rock, gorillaz"
zion & lennox,yo voy (feat. daddy yankee),"Reggaeton, Daddy Yankee"
bruno mars,leave the door open,"soul, Smooth Soul, Anderson paak, rnb, pop soul"
ac/dc,thunderstruck,"hard rock, rock, classic rock, ACDC, heavy metal"
ariana grande,7 rings,"trap, pop, rap, rnb, Hip-Hop"
xxxtentacion,jocelyn flores,"Hip-Hop, rap, emo, emo rap, MySpotigramBot"
eagles,hotel california - 2013 remaster,"rock, soft rock, pop, 70s, pop rock"
elton john,i'm still standing,"pop, 80s, elton john, rock, classic rock"
