artista,nombre_cancion,genres
chic,a warm summer night,"soul, sensual, soul and rnb classics, 70s, Love"
dax,what's happening (feat. viandra),Unknown
ben e. king,i can't break the news to myself,"soul, northern soul, northern, somafm, YIP"
noah carter,search,Unknown
capital t.,yoko ono (feat. granit derguti),Unknown
legado 7,el viaje (en vivo),Unknown
4keus,hood,Unknown
frank turner,blackout,"folk rock, 2010s, 2018"
farina,cuanto me gustas,Unknown
bad wolves,truth or dare,Unknown
24hrs,real life,Unknown
sammy arriaga,break up a band,Unknown
4keus,love money,Unknown
espinoza paz,que te lo crea tu madre,Unknown
zachary knowles,under the lights,Unknown
rend collective,yahweh,Unknown
upsahl,kiss me now,Unknown
massari,number one,Unknown
jpegmafia,macaulay culkin,"cloud rap, indie rock, boom bap, experimental hip hop, trip hop"
noah carter,u need,Unknown
morgxn,translucent,handclaps
hooss,darwa,Unknown
grandtheft,she knows (feat. just chase),moombahton
sauti sol,afrikan star,Unknown
ady suleiman,sad story - refix,Unknown
legado 7,el afro (en vivo),Unknown
juliette armanet,la carte postale,Unknown
lil gnar,feeltherage,Unknown
fools garden,embrace,Unknown
ryan kinder,leap of faith,"modern country, hairy chest, hunks, nice fur"
lil gnar,sticky rice,Unknown
glokknine,d to the s (feat. poody),Unknown
creed fisher,daddy's been gone too long,Unknown
og 3three,bitch nigga (feat. youngboy never broke again),Unknown
jeremy loops,let it burn,Unknown
john maus,episode,Unknown
creed fisher,you got an app for that?,Unknown
alyson stoner,the middle,Unknown
jpegmafia,germs,"glitch hop, abstract hip-hop, Industrial Soul, fart noises, IT'S NO SHAME"
mo3,numbers (feat. moneybagg yo),Unknown
boyce avenue,ironic (feat. emily zeck),Unknown
jpegmafia,rainbow six (feat. yung midpack),Unknown
yung bleu,know who u are,Unknown
yung bleu,no wedding ring,Unknown
liza anne,small talks,Unknown
lil gnar,samurai shit,Unknown
espinoza paz,si te dicen,Unknown
protoje,bout noon,Unknown
4keus,extinction des feux,Unknown
culture abuse,calm e,not grunge
iceage,pain killer,"post-punk, art punk, art rock, punk blues"
trevor hall,jupiter's call,Unknown
4keus,meeting,Unknown
legado 7,el cl1 (en vivo),Unknown
the arcadian wild,the poet,Unknown
triathalon,3,Unknown
mothica,lovetalk,"indie, pop, alternative, indietronica, alternative rnb"
stonebank,body moving,"dubstep, EDM, bass music, Brostep, drumstep"
speedy ortiz,lean in when i suffer,Unknown
lil gnar,codeine lemonade,Unknown
thompson square,up in smoke,Unknown
legado 7,el sapo (en vivo),Unknown
make out monday,shake it like a polaroid,Unknown
legado 7,el aguacate (en vivo),Unknown
jpegmafia,whole foods,"hardcore hip-hop, experimental hip-hop, industrial hip-hop"
vian izak,city of love,Unknown
agnes obel,poem about death,"danish, 2018 single"
albin lee meldau,i need your love,"swedish, 2018 single"
emily burns,bitch,"indie, indie pop, female vocalist"
beres hammond,what one dance can do,"reggae, beres hammond, dancehall reggae, lovers rock, roots reggae"
morgan heritage,help the needy,Unknown
jpegmafia,curb stomp,"sex, industrial hip hop, moans, Trap Metal, MySpotigramBot"
jpegmafia,libtard anthem (feat. freaky),"freaky, word on the street"
inkonnu,kib9aw fia (feat. 7liwa),Unknown
yung pinch,patience,Unknown
the lovin' spoonful,you didnt have to be so nice,"60s, classic rock, oldies, favorites, pop"
maggie rogers,alaska,"electronic, indie, folk, Awesome, american"
trill sammy,nah foreal,Unknown
trevor hall,if i was a warrior,Unknown
kiss daniel,4dayz,Unknown
vian izak,the london air raids,"towns and cities, war and soldiers"
problem,stressin,Unknown
ady suleiman,not giving up,fip
zachary knowles,no place like hope,Unknown
beabadoobee,angry song,Unknown
fredo,star,Unknown
triathalon,deep end,Unknown
waka flocka flame,"flexxin (feat. gucci mane, oj da juiceman & david blayne)",Unknown
red sun rising,evil like you,Unknown
liza anne,turn for the worse,Unknown
fools garden,still running,Unknown
fools garden,save the world tomorrow,Unknown
fools garden,new world,Unknown
elvis presley,crawfish,"rock, oldies, vugube62, rockabilly, Rock  Roll"
jeremy loops,underwater blues,Unknown
black milk,true lies,Unknown
towkio,hate to love,Unknown
ady suleiman,i remember,fip
ladytron,the animals,"synthpop, electropop, electronic, Electroclash, Ladytronica"
buck meek,ruby,Unknown
kovic,running underwater,Unknown
rémy,bandits,Unknown
rockie fresh,cbs,Unknown
ry cooder,the prodigal son,fip
hooss,la provence,Unknown
annmarie,worth the wait,Unknown
annmarie,sleep on me,Unknown
annmarie,ecstasy,Unknown
annmarie,one mo time,Unknown
dead letter circus,the armour you own,Unknown
sauti sol,girl nextdoor,Unknown
red sun rising,stealing life,Unknown
owl city,not all heroes wear capes,"electronic, indie, alternative, songwriter, american"
vian izak,marble floors,Unknown
kaydy cain,no dreams,Unknown
chris lane,take back home girl (feat. tori kelly),"country, duet, fallon, 2010s, 2017"
tors,we say no,Unknown
dawin,can't forgive you anymore,Unknown
sonny alven,backseat lovin',Unknown
lil gnar,ride wit da fye,hip hop trap
juliette armanet,sous la pluie,"female vocalists, singer-songwriter, piano, acoustic, chanson francaise"
miss fortune,die for you (dpm9k remix),Unknown
fools garden,boomtown,Unknown
fools garden,course of ages,Unknown
fools garden,shame,Unknown
fools garden,all we are,Unknown
fools garden,marie marie,Unknown
fools garden,boys,Unknown
fools garden,high again,Unknown
dillon carmichael,made to be a country boy,Unknown
modestep,higher - oliverse remix,"dubstep, EDM, bass music, Brostep, monstercat"
jeremy loops,dreaming again,Unknown
crazy ex-girlfriend cast,my sperm is healthy,Unknown
red sun rising,veins,Unknown
elvis presley,"lawdy, miss clawdy","rock n roll, 50s, classic rock, rock, oldies"
the lovin' spoonful,did you ever have to make up your mind,"60s, pop, classic rock, rock, organ"
fools garden,i burn,2017 single
towkio,cntrl,Unknown
jeremy loops,flash floods,Unknown
dan bremnes,up again,Unknown
weathers,carry us home,alternative
crazy ex-girlfriend cast,fit hot guys have problems too,Unknown
elvis presley,hound dog,"rock n roll, oldies, Rock and Roll, classic rock, rock"
red sun rising,el lazo,Unknown
liza anne,get by,Unknown
waka flocka flame,"fight (feat. slim dunkin, kebo gotti & lil capp)",Unknown
orishas,sastre de tu amor,Unknown
trevor hall,karma,Unknown
towkio,disco,Unknown
juliette armanet,adieu tchin tchin,Unknown
liz phair,divorce song (girly-sound version),Unknown
